split,seed,model,accuracy,precision_macro,recall_macro,f1_macro,weighted_f1
random,baseline,original_finbert,0.40043763676148797,0.42186383153780893,0.41019346059068007,0.41491570908150804,0.40239268171378306
random,not_applicable,tfidf_logistic_regression,0.5339168490153173,0.5448384386992463,0.5220358723503377,0.5297723444151412,0.5329065626780211
random,43,fine_tuned,0.5645514223194749,0.5727904584324568,0.5633019480917528,0.5673277439406471,0.5647279216630525
random,47,fine_tuned,0.5886214442013129,0.5938904074005716,0.5826363602927654,0.587261717414694,0.5883032024983811
random,53,fine_tuned,0.5842450765864332,0.5905713044828058,0.5795058050437064,0.5841065879105984,0.5842096389773759
random,59,fine_tuned,0.5711159737417943,0.5841640600208532,0.5642269545281793,0.5717328098178402,0.5709014440594882
random,61,fine_tuned,0.5667396061269147,0.5770088203935252,0.5668027511125823,0.5702011448691383,0.5672171045070092
chronological,baseline,original_finbert,0.38054968287526425,0.4306145528537315,0.3884497381456567,0.36880946931949293,0.4162116513138034
chronological,not_applicable,tfidf_logistic_regression,0.4312896405919662,0.44209268344606684,0.45208712169020315,0.41086761278733963,0.4517425520410484
chronological,43,fine_tuned,0.427061310782241,0.4783392309506959,0.472045237460831,0.42380759093141046,0.4560944781758515
chronological,47,fine_tuned,0.386892177589852,0.47870361705635694,0.46210682244442053,0.3977933457571233,0.41420989776628847
chronological,53,fine_tuned,0.4418604651162791,0.48865094424866723,0.4741669770067838,0.4322610301905658,0.4731482301050225
chronological,59,fine_tuned,0.4587737843551797,0.5122920997920998,0.4917955941571915,0.44704974399932357,0.4875424099400132
chronological,61,fine_tuned,0.44608879492600423,0.47035280252510225,0.47207769981618514,0.4315987760025417,0.4701569653282215
